Time, Torque, Angle
0.67775,0.18574221,0
0.67975,0.19270755,0
0.68175,0.17877686,0
0.68375003,0.18109865,0
0.68575,0.1764551,0
0.68775004,0.1764551,0
0.68975,0.17877686,0
0.69175,0.18342043,0
0.69375,0.17877686,0
0.69575,0.18109865,0
0.69775003,0.17413333,0
0.69975,0.17413333,0
0.70175004,0.16948979,0
0.70375,0.16020265,0
0.70575,0.16020265,0
0.70775,0.16020265,0
0.70975,0.15091555,0
0.71175003,0.15091555,0
0.71375,0.14627199,0
0.71575004,0.13930666,0
0.71775,0.13001955,0
0.71975005,0.13001955,0
0.72175,0.13001955,0
0.72375,0.12769777,0
0.72575,0.12305422,0
0.72775,0.13001955,0
0.72975004,0.125376,0
0.73175,0.125376,0
0.73375005,0.125376,0
0.73575,0.11608888,0
0.73775,0.12073244,0
0.73975,0.118410654,0
0.74175,0.12073244,0
0.74375004,0.125376,0
0.74575,0.13234133,0
0.74775004,0.125376,0
0.74975,0.125376,0
0.75175,0.118410654,0
0.75375,0.11608888,0
0.75575,0.12305422,0
0.75775003,0.12305422,0
0.75975,0.125376,0
0.76175004,0.13001955,0
0.76375,0.12305422,0
0.76575,0.118410654,0
0.76775,0.118410654,0
0.76975,0.118410654,0
0.77175003,0.11608888,0
0.77375,0.12073244,0
0.77575004,0.12073244,0
0.77775,0.12073244,0
0.77975,0.12073244,0
0.78175,0.12073244,0
0.78375,0.1137671,0
0.78575003,0.11608888,0
0.78775,0.11144533,0
0.78975004,0.118410654,0
0.79175,0.118410654,0
0.79375005,0.11608888,0
0.79575,0.118410654,0
0.79775,0.118410654,0
0.79975003,0.11608888,0
0.80175,0.11608888,0
0.80375004,0.11608888,0
0.80575,0.1137671,0
0.80775005,0.118410654,0
0.80975,0.12073244,0
0.81175,0.125376,0
0.81375,0.12305422,0
0.81575,0.12073244,0
0.81775004,0.118410654,0
0.81975,0.118410654,0
0.82175004,0.11608888,0
0.82375,0.12073244,0
0.82575,0.13001955,0
0.82775,0.12769777,0
0.82975,0.12769777,0
0.83175004,0.12769777,0
0.83375,0.12769777,0
0.83575004,0.125376,0
0.83775,0.12769777,0
0.83975,0.13001955,0
0.84175,0.13466309,0
0.84375,0.13930666,0
0.84575003,0.14395021,0
0.84775,0.14162844,0
0.84975004,0.14627199,0
0.85175,0.14627199,0
0.85375,0.14627199,0
0.85575,0.14859378,0
0.85775,0.15555911,0
0.85975003,0.16020265,0
0.86175,0.16020265,0
0.86375004,0.16252443,0
0.86575,0.16252443,0
0.86775,0.15788089,0
0.86975,0.15788089,0
0.87175,0.16716799,0
0.87375003,0.17181155,0
0.87575,0.17181155,0
0.87775004,0.17413333,0
0.87975,0.17181155,0
0.88175005,0.17413333,0
0.88375,0.18109865,0
0.88575,0.17877686,0
0.88775,0.1764551,0
0.88975,0.17877686,0
0.89175004,0.18574221,0
0.89375,0.18806398,0
0.89575005,0.18574221,0
0.89775,0.18342043,0
0.89975,0.17877686,0
0.90175,0.1764551,0
0.90375,0.17413333,0
0.90575004,0.18109865,0
0.90775,0.18109865,0
0.90975004,0.19038577,0
0.91175,0.18806398,0
0.91375,0.19038577,0
0.91575,0.18806398,0
0.91775,0.19038577,0
0.91975003,0.19270755,0
0.92175,0.20199466,0
0.92375004,0.20895998,0
0.92575,0.21360354,0
0.92775,0.22521244,0
0.92975,0.25307375,0
0.93175,0.28790042,0
0.93375003,0.32504886,0
0.93575,0.3645191,0
0.93775004,0.39470217,0
0.93975,0.42952883,0
0.94175,0.46203378,0
0.94375,0.5038257,0
0.94575,0.5525831,0.125
0.94775003,0.6013404,0.125
0.94975,0.6500977,0.125
0.95175004,0.7011768,0.125
0.95375,0.75922126,0.125
0.95575,0.81494397,0.125
0.95775,0.87531024,0.125
0.95975,0.93335456,0.125
0.96175003,0.9890773,0.125
0.96375,1.0564089,0.25
0.96575004,1.1144533,0.25
0.96775,1.1678542,0.25
0.96975005,1.2235769,0.25
0.97175,1.2839432,0.25
0.97375,1.3327003,0.25
0.97575,1.3791358,0.25
0.97775,1.4186062,0.25
0.97975004,1.4464675,0.25
0.98175,1.4743288,0.25
0.98375005,1.4859377,0.375
0.98575,1.4929031,0.375
0.98775,1.4929031,0.375
0.98975,1.4929031,0.375
0.99175,1.4882594,0.375
0.99375004,1.4998683,0.375
0.99575,1.4929031,0.375
0.99775004,1.4929031,0.375
0.99975,1.4882594,0.375
1.00175,1.4859377,0.375
1.003749,1.4882594,0.375
1.0057501,1.4882594,0.375
1.00775,1.4975466,0.375
1.00975,1.5021901,0.375
1.011749,1.5137991,0.375
1.0137501,1.5137991,0.5
1.01575,1.5068338,0.5
1.01775,1.5045118,0.5
1.01975,1.4929031,0.5
1.021749,1.4882594,0.5
1.0237501,1.4882594,0.5
1.02575,1.4905812,0.5
1.02775,1.4929031,0.5
1.02975,1.4998683,0.5
1.031749,1.4998683,0.5
1.03375,1.5068338,0.5
1.03575,1.5161208,0.5
1.03775,1.5254079,0.5
1.039749,1.5416604,0.5
1.0417501,1.5486256,0.5
1.04375,1.5555911,0.625
1.04575,1.5671998,0.625
